2021-10-28 17:22:53.226 [main] INFO  baseTest.Log - Driver setup.
2021-10-28 17:22:58.041 [main] INFO  baseTest.Log - Navigate N11 website.
2021-10-28 17:23:01.937 [main] INFO  baseTest.Log - Click//span[@class='seg-popup-close']element
2021-10-28 17:23:02.090 [main] INFO  baseTest.Log - Click//span[@class='seg-popup-close']element
2021-10-28 17:23:02.964 [main] INFO  baseTest.Log - Click #cookieUsagePopIn>span.closeBtn element
2021-10-28 17:23:02.969 [main] INFO  baseTest.Log - HomePage is loading success.
2021-10-28 17:23:03.102 [main] INFO  baseTest.Log - SendKeys :Bilgisayar to input#searchData
2021-10-28 17:23:07.618 [main] INFO  baseTest.Log - Click a.searchBtn element
2021-10-28 17:23:08.893 [main] INFO  baseTest.Log - Click div.pagination > a:nth-child(2) element
2021-10-28 17:23:08.987 [main] INFO  baseTest.Log - Page control is success.
2021-10-28 17:23:09.161 [main] INFO  baseTest.Log - Select random product.
2021-10-28 17:23:11.707 [main] INFO  baseTest.Log - Element is exist a[class='btn btnGrey addBasketUnify']
2021-10-28 17:23:13.484 [main] INFO  baseTest.Log - Click .myBasketHolder>a element
2021-10-28 17:23:13.601 [main] INFO  baseTest.Log - Click span[class='btn btnBlack'] element
2021-10-28 17:23:13.677 [main] INFO  baseTest.Log - Price control is success.
2021-10-28 17:23:14.233 [main] INFO  baseTest.Log - Click .spinnerUp.spinnerArrow element
2021-10-28 17:23:14.263 [main] INFO  baseTest.Log - Product amount control is success.
2021-10-28 17:23:14.417 [main] INFO  baseTest.Log - Click span[title='Sil'] element
2021-10-28 17:23:16.392 [main] INFO  baseTest.Log - Element is exist div.cartEmptyText
2021-10-28 17:23:17.114 [main] INFO  baseTest.Log - Driver quit.
